patient	well_fov	compartment	channel	feature	processor_type	input_subparent_name	mask_subparent_name	output_features_subparent_name
NF0014_T1	G9-1	Organoid	DNA	AreaSizeShape	CPU	zstack_images	segmentation_masks	extracted_features
NF0014_T1	G9-2	Organoid	DNA	AreaSizeShape	CPU	zstack_images	segmentation_masks	extracted_features
NF0014_T2	C10-1	Organoid	DNA	AreaSizeShape	CPU	zstack_images	segmentation_masks	extracted_features
NF0014_T2	C10-2	Organoid	DNA	AreaSizeShape	CPU	zstack_images	segmentation_masks	extracted_features
NF0014_T2	C10-3	Organoid	DNA	AreaSizeShape	CPU	zstack_images	segmentation_masks	extracted_features
NF0014_T2	C10-4	Organoid	DNA	AreaSizeShape	CPU	zstack_images	segmentation_masks	extracted_features
NF0014_T2	C10-5	Organoid	DNA	AreaSizeShape	CPU	zstack_images	segmentation_masks	extracted_features
NF0014_T2	C10-6	Organoid	DNA	AreaSizeShape	CPU	zstack_images	segmentation_masks	extracted_features
NF0014_T2	C10-7	Organoid	DNA	AreaSizeShape	CPU	zstack_images	segmentation_masks	extracted_features
NF0014_T2	C11-1	Organoid	DNA	AreaSizeShape	CPU	zstack_images	segmentation_masks	extracted_features
NF0014_T2	C11-2	Organoid	DNA	AreaSizeShape	CPU	zstack_images	segmentation_masks	extracted_features
NF0014_T2	C11-3	Organoid	DNA	AreaSizeShape	CPU	zstack_images	segmentation_masks	extracted_features
NF0014_T2	C11-4	Organoid	DNA	AreaSizeShape	CPU	zstack_images	segmentation_masks	extracted_features
NF0014_T2	C11-5	Organoid	DNA	AreaSizeShape	CPU	zstack_images	segmentation_masks	extracted_features
NF0014_T2	C11-6	Organoid	DNA	AreaSizeShape	CPU	zstack_images	segmentation_masks	extracted_features
NF0014_T2	C11-7	Organoid	DNA	AreaSizeShape	CPU	zstack_images	segmentation_masks	extracted_features
NF0014_T2	C2-1	Organoid	DNA	AreaSizeShape	CPU	zstack_images	segmentation_masks	extracted_features
NF0014_T2	C2-2	Organoid	DNA	AreaSizeShape	CPU	zstack_images	segmentation_masks	extracted_features
NF0014_T2	C2-3	Organoid	DNA	AreaSizeShape	CPU	zstack_images	segmentation_masks	extracted_features
NF0014_T2	C2-4	Organoid	DNA	AreaSizeShape	CPU	zstack_images	segmentation_masks	extracted_features
NF0014_T2	C2-5	Organoid	DNA	AreaSizeShape	CPU	zstack_images	segmentation_masks	extracted_features
NF0014_T2	C2-6	Organoid	DNA	AreaSizeShape	CPU	zstack_images	segmentation_masks	extracted_features
NF0014_T2	C2-7	Organoid	DNA	AreaSizeShape	CPU	zstack_images	segmentation_masks	extracted_features
NF0014_T2	C3-1	Organoid	DNA	AreaSizeShape	CPU	zstack_images	segmentation_masks	extracted_features
NF0014_T2	C3-2	Organoid	DNA	AreaSizeShape	CPU	zstack_images	segmentation_masks	extracted_features
NF0014_T2	C3-3	Organoid	DNA	AreaSizeShape	CPU	zstack_images	segmentation_masks	extracted_features
